                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.6706,                 2.5709,                 1.6613,                 1.3207,                0.89514,                0.82086,                0.91446,                0.56791,                0.90059,                 0.8141,                0.89448,                0.54072,                  1.417,                 1.8686,                 1.1249,                 1.3116,             0.00066173,             0.00066173,             0.00066173
                      1,                 1.3473,                 2.0514,                0.93549,                 1.2115,                0.86471,                0.91667,                0.91887,                 0.6009,                0.84538,                0.91667,                0.89741,                0.55522,                 1.2096,                 1.6854,                0.88329,                 1.3296,              0.0013021,              0.0013021,              0.0013021
                      2,                 1.3318,                 1.9991,                0.88683,                  1.205,                0.88286,                0.90385,                0.92162,                0.57621,                0.88369,                0.91026,                0.92953,                0.55069,                 1.2465,                 1.6547,                0.78183,                 1.3502,              0.0019161,              0.0019161,              0.0019161
                      3,                 1.2749,                 1.9161,                0.81778,                 1.1989,                0.90723,                0.94231,                0.93148,                0.59099,                0.90106,                 0.9359,                 0.9523,                0.57638,                 1.1576,                 1.6047,                0.78855,                 1.3158,              0.0018812,              0.0018812,              0.0018812
                      4,                 1.2455,                 1.8648,                0.79413,                  1.186,                0.95393,                 0.9292,                0.96496,                0.63326,                0.94363,                0.91026,                0.94932,                0.61002,                 1.2105,                 1.6285,                0.77667,                 1.3017,              0.0018812,              0.0018812,              0.0018812
                      5,                 1.2096,                 1.7799,                0.77163,                 1.1642,                0.90021,                0.92526,                0.94008,                0.65369,                0.92111,                0.92949,                0.94924,                0.60018,                 1.2363,                 1.5246,                0.74988,                 1.3541,              0.0018416,              0.0018416,              0.0018416
                      6,                 1.1808,                 1.8013,                0.74909,                  1.163,                0.94285,                0.95183,                0.95129,                0.64923,                0.91041,                0.91193,                0.92163,                0.60826,                 1.2006,                 1.5421,                0.69148,                 1.3639,               0.001802,               0.001802,               0.001802
                      7,                 1.1433,                 1.7368,                0.71098,                 1.1438,                0.96146,                0.95944,                0.94767,                 0.6472,                0.93769,                0.92949,                 0.9488,                 0.5895,                 1.1994,                 1.7669,                0.68166,                 1.2863,              0.0017624,              0.0017624,              0.0017624
                      8,                 1.1327,                 1.7502,                0.70794,                 1.1457,                0.91093,                0.91777,                0.93487,                0.59903,                0.92291,                0.92949,                0.95326,                0.58799,                 1.2686,                 1.5222,                0.73177,                 1.3474,              0.0017228,              0.0017228,              0.0017228
                      9,                 1.1343,                 1.7161,                 0.7028,                 1.1453,                0.92721,                0.92308,                0.93743,                0.64248,                0.92377,                 0.9359,                0.96423,                0.60882,                 1.0779,                 1.4289,                0.65836,                  1.208,              0.0016832,              0.0016832,              0.0016832
